Date,PC,Laufzeit_in_s
2020-12-26 04:37:34 AM,DOUG,2.16
2020-12-26 04:39:10 AM,DOUG,3.31
2020-12-26 04:39:46 AM,DOUG,2.54
2020-12-26 04:40:43 AM,DOUG,2.84
