Date_reported,Country,New_cases,Cumulative_cases,New_deaths,MA,MA_deaths,MSTD_cases,MSTD_deaths,OTG_cases,UTG_cases,OTG_deaths,UTG_deaths
2020-10-03 00:00:00+00:00,France,11543,563796,118,10574.285714285714,64.42857142857143,3618.0673807194357,29.74814920214414,14192.35309500515,6956.218333566278,94.17672063071558,34.68042222642729
2020-10-04 00:00:00+00:00,France,16911,580707,43,11006.42857142857,65.0,4211.526518858104,29.21186973361993,15217.955090286676,6794.902052570466,94.21186973361993,35.788130266380065
2020-10-05 00:00:00+00:00,France,12545,593252,32,11209.57142857143,65.71428571428571,4252.185275719423,28.170399865320935,15461.756704290852,6957.3861528520065,93.88468557960664,37.54388584896478
2020-10-06 00:00:00+00:00,France,4813,598065,68,11348.42857142857,65.85714285714286,3978.5212854834735,28.18054039835826,15326.949856912044,7369.907285945097,94.03768325550112,37.6766024587846
2020-10-07 00:00:00+00:00,France,10476,608541,65,11733.714285714286,63.42857142857143,3695.785559899189,27.27549048052173,15429.499845613474,8037.928725815097,90.70406190909316,36.153080948049706
2020-10-08 00:00:00+00:00,France,17932,626473,77,12597.0,66.42857142857143,4380.463864325804,27.476396797124337,16977.463864325804,8216.536135674196,93.90496822569577,38.95217463144709
2020-10-09 00:00:00+00:00,France,18104,644577,76,13189.142857142857,68.42857142857143,4850.2294594711,27.60952216693279,18039.372316613957,8338.913397671757,96.03809359550422,40.81904926163864
2020-10-10 00:00:00+00:00,France,20120,664697,90,14414.42857142857,64.42857142857143,5415.5035732957,20.288396871603624,19829.93214472427,8998.92499813287,84.71696830017505,44.14017455696781
2020-10-11 00:00:00+00:00,France,26675,691372,54,15809.285714285714,66.0,7146.507671916368,18.71719352183916,22955.79338620208,8662.778042369346,84.71719352183916,47.282806478160836
2020-10-12 00:00:00+00:00,France,16101,707473,46,16317.285714285714,68.0,7000.696625200442,14.821156050298729,23317.982339486156,9316.589089085272,82.82115605029873,53.178843949701275
2020-10-13 00:00:00+00:00,France,8295,715768,94,16814.714285714286,71.71428571428571,6114.667494756049,17.783084525433907,22929.381780470336,10700.046790958237,89.49737023971961,53.9312011888518
2020-10-14 00:00:00+00:00,France,12981,728749,108,17172.571428571428,77.85714285714286,5743.932823920553,22.00324651371872,22916.50425249198,11428.638604650874,99.86038937086158,55.85389634342414
2020-10-15 00:00:00+00:00,France,21696,750445,101,17710.285714285714,81.28571428571429,5997.462010836438,23.65526217508567,23707.74772512215,11712.823703449276,104.94097646079996,57.630452110628624
2020-10-16 00:00:00+00:00,France,30553,780998,88,19488.714285714286,83.0,7729.359022891849,23.643180835086604,27218.073308606137,11759.355262822437,106.64318083508661,59.3568191649134
2020-10-17 00:00:00+00:00,France,24724,805722,162,20146.428571428572,93.28571428571429,7983.728491065148,38.3088949014718,28130.15706249372,12162.700080363426,131.5946091871861,54.97681938424249
2020-10-18 00:00:00+00:00,France,32427,838149,89,20968.14285714286,98.28571428571429,8999.10377812822,34.41276064541564,29967.246635271076,11969.03907901464,132.69847493112994,63.872953640298654
2020-10-19 00:00:00+00:00,France,29833,867982,85,22929.85714285714,103.85714285714286,9254.382429036255,26.86651305640692,32184.2395718934,13675.474713820886,130.72365591354978,76.99062980073595
2020-10-20 00:00:00+00:00,France,12944,880926,146,23594.0,111.28571428571429,8127.240860218052,30.61434459920118,31721.24086021805,15466.759139781949,141.90005888491547,80.67136968651312
2020-10-21 00:00:00+00:00,France,20424,901350,261,24657.285714285714,133.14285714285714,6901.82777033928,64.13898598987996,31559.11348462499,17755.457943946436,197.2818431327371,69.00387115297718
2020-10-22 00:00:00+00:00,France,25820,927170,155,25246.428571428572,140.85714285714286,6781.892873850107,62.86341960003449,32028.321445278678,18464.535697578467,203.72056245717735,77.99372325710837
2020-10-23 00:00:00+00:00,France,41563,968733,162,26819.285714285714,151.42857142857142,9098.700194978026,58.56864104865476,35917.98590926374,17720.585519307686,209.99721247722619,92.85993037991665
2020-10-24 00:00:00+00:00,France,41825,1010558,297,29262.285714285714,170.71428571428572,10612.269372669225,80.68191512707068,39874.55508695494,18650.016341616487,251.3962008413564,90.03237058721504
2020-10-25 00:00:00+00:00,France,45388,1055946,137,31113.85714285714,177.57142857142858,12259.327026507417,74.37261400734889,43373.184169364555,18854.530116349724,251.94404257877747,103.1988145640797
2020-10-26 00:00:00+00:00,France,51849,1107795,105,34259.0,180.42857142857142,14496.026375067922,70.50734510876227,48755.02637506792,19762.973624932078,250.9359165373337,109.92122631980915
2020-10-27 00:00:00+00:00,France,26505,1134300,255,36196.28571428572,196.0,11834.500717735982,73.60480056808127,48030.7864320217,24361.784996549737,269.60480056808126,122.39519943191873
2020-10-28 00:00:00+00:00,France,33405,1167705,522,38050.71428571428,233.28571428571428,9791.887674912,144.23674322182387,47842.601960626285,28258.82661080228,377.52245750753815,89.0489710638904
2020-10-29 00:00:00+00:00,France,35367,1203072,240,39414.57142857143,245.42857142857142,8365.380960783912,140.06529089780219,47779.95238935534,31049.190467787514,385.4938623263736,105.36328053076923
2020-10-30 00:00:00+00:00,France,47616,1250688,235,40279.28571428572,255.85714285714286,8918.998088617367,135.46023841141135,49198.28380290308,31360.287625668352,391.3173812685542,120.39690444573151
2020-10-31 00:00:00+00:00,France,48594,1299282,544,41246.28571428572,291.14285714285717,9464.766060047494,174.50637865269084,50711.05177433321,31781.519654238225,465.649235795548,116.63647849016633
2020-11-01 00:00:00+00:00,France,32530,1331812,223,39409.42857142857,303.42857142857144,9769.785989760094,164.5912686453501,49179.214561188666,29639.64258166848,468.01984007392156,138.83730278322133
2020-11-02 00:00:00+00:00,France,49290,1381102,231,39043.857142857145,321.42857142857144,9261.385487218176,144.99753692489324,48305.24263007532,29782.47165563897,466.42610835346466,176.4310345036782
2020-11-03 00:00:00+00:00,France,52156,1433258,411,42708.28571428572,343.7142857142857,8518.104850146758,145.07436516687378,51226.39056443248,34190.18086413896,488.78865088115947,198.63992054741195
2020-11-04 00:00:00+00:00,France,36254,1469512,854,43115.28571428572,391.14285714285717,8054.975661338796,237.74596286192278,51170.26137562451,35060.31005294692,628.88882000478,153.3968942809344
2020-11-05 00:00:00+00:00,France,39807,1509319,373,43749.57142857143,410.14285714285717,7498.759805397564,228.80007908756514,51248.331233968995,36250.81162317386,638.9429362304223,181.34277805529203
2020-11-06 00:00:00+00:00,France,58016,1567335,363,45235.28571428572,428.42857142857144,9224.231471406913,217.29538815696372,54459.51718569263,36011.0542428788,645.7239595855351,211.13318327160772
2020-11-07 00:00:00+00:00,France,60232,1627567,827,46897.857142857145,468.85714285714283,10838.128289032305,263.74383314839656,57735.98543188945,36059.72885382484,732.6009760055395,205.11330970874627
