Date_reported,Country,New_cases,Cumulative_cases,New_deaths,MA,MA_deaths,MSTD_cases,MSTD_deaths,OTG_cases,UTG_cases,OTG_deaths,UTG_deaths
2021-04-02 00:00:00+00:00,Spain,8957,3306560,74,6611.571428571428,73.14285714285714,2219.485515236052,9.136530548947283,8831.05694380748,4392.085913335377,82.27938769180442,64.00632659390986
2021-04-03 00:00:00+00:00,Spain,5635,3312195,68,6380.142857142857,73.85714285714286,2225.6636784306397,8.375133260940625,8605.806535573496,4154.479178712218,82.23227611808349,65.48200959620223
2021-04-04 00:00:00+00:00,Spain,3793,3315988,64,5842.571428571428,71.28571428571429,2345.536886445333,8.220184217344773,8188.1083150167615,3497.0345421260954,79.50589850305906,63.06553006836952
2021-04-05 00:00:00+00:00,Spain,4518,3320506,74,5901.857142857143,72.85714285714286,2299.0228669629514,7.380798769228625,8200.880009820095,3602.8342758941917,80.23794162637148,65.47634408791424
2021-04-06 00:00:00+00:00,Spain,4218,3324724,54,6086.285714285715,71.14285714285714,2059.957096168927,10.123052428583284,8146.242810454642,4026.3286181167878,81.26590957144042,61.01980471427385
2021-04-07 00:00:00+00:00,Spain,7663,3332387,71,6132.857142857143,69.28571428571429,2096.3102051347205,8.420496535265393,8229.167347991865,4036.5469377224226,77.70621082097969,60.8652177504489
2021-04-08 00:00:00+00:00,Spain,10823,3343210,76,6515.285714285715,68.71428571428571,2686.0141917080205,7.674943771808118,9201.299905993736,3829.271522577694,76.38922948609383,61.03934194247759
2021-04-09 00:00:00+00:00,Spain,10515,3353725,91,6737.857142857143,71.14285714285714,2971.447819299354,11.4080172308124,9709.304962156497,3766.4093235577893,82.55087437366954,59.73483991204474
2021-04-10 00:00:00+00:00,Spain,10316,3364041,77,7406.571428571428,72.42857142857143,3199.8326444273557,11.501552690022786,10606.404072998785,4206.738784144072,83.93012411859422,60.92701873854865
2021-04-11 00:00:00+00:00,Spain,10465,3374506,77,8359.714285714286,74.28571428571429,2926.040881132325,10.950103282637055,11285.755166846611,5433.673404581961,85.23581756835135,63.33561100307723
2021-04-12 00:00:00+00:00,Spain,5650,3380156,87,8521.42857142857,76.14285714285714,2700.9570437797443,11.950293879448386,11222.385615208315,5820.471527648826,88.09315102230552,64.19256326340876
2021-04-13 00:00:00+00:00,Spain,3929,3384085,52,8480.142857142857,75.85714285714286,2778.7882508063813,12.575486357931242,11258.931107949238,5701.354606336476,88.4326292150741,63.28165649921162
2021-04-14 00:00:00+00:00,Spain,8974,3393059,90,8667.42857142857,78.57142857142857,2758.6417465261425,13.377308434361519,11426.070317954713,5908.786824902429,91.9487370057901,65.19412013706705
2021-04-15 00:00:00+00:00,Spain,10148,3403207,74,8571.0,78.28571428571429,2681.4529643390133,13.462469878657258,11252.452964339012,5889.547035660987,91.74818416437155,64.82324440705703
2021-04-16 00:00:00+00:00,Spain,10423,3413630,84,8557.857142857143,77.28571428571429,2670.5398598073048,12.592514783278471,11228.397002664447,5887.317283049839,89.87822906899277,64.69319950243582
2021-04-17 00:00:00+00:00,Spain,9678,3423308,68,8466.714285714286,76.0,2610.7535128242853,13.076696830455985,11077.467798538572,5855.960772890001,89.07669683045599,62.92330316954401
2021-04-18 00:00:00+00:00,Spain,9935,3433243,79,8391.0,76.28571428571429,2550.123918550314,13.123951205096466,10941.123918550315,5840.876081449685,89.40966549081075,63.161763080617824
2021-04-19 00:00:00+00:00,Spain,5339,3438582,74,8346.57142857143,74.42857142857143,2607.8917958784277,12.245504519946811,10954.463224449857,5738.679632693002,86.67407594851824,62.18306690862462
2021-04-20 00:00:00+00:00,Spain,3931,3442513,56,8346.857142857143,75.0,2607.3272028687798,11.060440015161713,10954.184345725924,5739.529939988363,86.06044001516172,63.93955998483828
2021-04-21 00:00:00+00:00,Spain,8688,3451201,76,8306.0,73.0,2598.08634703103,8.962886439590177,10904.08634703103,5707.9136529689695,81.96288643959018,64.03711356040982
2021-04-22 00:00:00+00:00,Spain,10743,3461944,80,8391.0,73.85714285714286,2676.9306428499553,9.352870707533972,11067.930642849955,5714.069357150045,83.21001356467683,64.5042721496089
2021-04-23 00:00:00+00:00,Spain,9680,3471624,62,8284.857142857143,70.71428571428571,2596.4520297551253,9.068522218848573,10881.30917261227,5688.405113102018,79.78280793313428,61.64576349543714
2021-04-24 00:00:00+00:00,Spain,9825,3481449,69,8305.857142857143,70.85714285714286,2610.1559613976174,9.026416258507336,10916.01310425476,5695.701181459526,79.8835591156502,61.83072659863552
2021-04-25 00:00:00+00:00,Spain,9900,3491349,75,8300.857142857143,70.28571428571429,2606.546081724405,8.538428538110319,10907.403224581549,5694.311061132737,78.82414282382462,61.747285747603975
