KW,Testanzahl_VOC,B_1_1_7,B_1_351,P_1,n_B_1_1_7,n_B_1_351,n_P_1,n_alle_anderen
KW2,49,1,0,0,2.0408163265306123,0.0,0.0,97.95918367346938
KW3,3344,122,0,0,3.648325358851675,0.0,0.0,96.35167464114832
KW4,30449,1441,95,1,4.732503530493612,0.3119971099215081,0.0032841801044369272,94.95221517948045
KW5,26849,1931,174,0,7.192074192707364,0.6480688293791202,0.0,92.15985697791352
KW6,33940,5978,385,17,17.61343547436653,1.1343547436652917,0.05008839127872717,81.20212139068946
KW7,29756,7695,210,27,25.86033068960882,0.7057400188197338,0.09073800241968007,73.34319128915176
KW8,45577,18222,502,37,39.98069201570968,1.101432740197907,0.08118129758430788,58.836693946508106
KW9,35755,19832,345,15,55.466368340092295,0.9649000139840581,0.04195217452104601,43.526779471402605
