,Date_reported,Country,New_cases,Cumulative_cases,New_deaths,MA,MSTD_cases,OTG_cases,UTG_cases,MA_d,MSTD_deaths,OTG_deaths,UTG_deaths
82178,2020-10-22 00:00:00+00:00,Italy,15199,449648,127,10978.42857142857,2110.3749159128756,13088.803487341447,8868.053655515694,77.57142857142857,26.273288988735782,103.84471756016436,51.298139582692784
82179,2020-10-23 00:00:00+00:00,Italy,16078,465726,136,12017.714285714286,2595.9721823294954,14613.686468043781,9421.742103384791,85.14285714285714,34.45977641361159,119.60263355646873,50.683080729245546
82180,2020-10-24 00:00:00+00:00,Italy,19143,484869,91,13322.57142857143,3541.4363308852926,16864.007759456723,9781.135097686136,90.28571428571429,31.794728523839822,122.08044280955411,58.49098576187447
82181,2020-10-25 00:00:00+00:00,Italy,19640,504509,151,14567.57142857143,4053.0237213362425,18620.595149907673,10514.547707235186,105.14285714285714,32.48809305693554,137.63095019979266,72.6547640859216
82182,2020-10-26 00:00:00+00:00,Italy,21273,525782,128,15934.42857142857,4513.9113806521445,20448.339952080714,11420.517190776427,113.57142857142857,29.01641571511365,142.5878442865422,84.55501285631492
82183,2020-10-27 00:00:00+00:00,Italy,17007,542789,141,17030.14285714286,3451.3908514573955,20481.533708600255,13578.752005685463,123.28571428571429,24.14342067530357,147.42913496101787,99.14229361041072
82184,2020-10-28 00:00:00+00:00,Italy,21989,564778,221,18618.428571428572,2597.089900712133,21215.518472140706,16021.338670716439,142.14285714285714,39.540816765414775,181.6836739082719,102.60204037744236
82185,2020-10-29 00:00:00+00:00,Italy,24988,589766,205,20016.85714285714,3045.7343629285565,23062.5915057857,16971.122779928584,153.28571428571428,45.15423304524924,198.43994733096352,108.13148124046504
82186,2020-10-30 00:00:00+00:00,Italy,26829,616595,217,21552.714285714286,3416.5694643548395,24969.283750069124,18136.14482135945,164.85714285714286,50.09467227636196,214.95181513350482,114.7624705807809
82187,2020-10-31 00:00:00+00:00,Italy,31079,647674,199,23257.85714285714,4736.885278625308,27994.74242148245,18520.971864231833,180.28571428571428,38.947461559191254,219.23317584490553,141.33825272652302
82188,2020-11-01 00:00:00+00:00,Italy,31756,679430,297,24988.714285714286,5366.360800216034,30355.07508593032,19622.353485498254,201.14285714285714,56.00722742476585,257.15008456762297,145.13562971809128
82189,2020-11-02 00:00:00+00:00,Italy,29905,709335,208,26221.85714285714,5361.992988574663,31583.850131431805,20859.864154282477,212.57142857142858,45.832510815129574,258.40393938655814,166.738917756299
82190,2020-11-03 00:00:00+00:00,Italy,22253,731588,233,26971.285714285714,4070.4738755369267,31041.75958982264,22900.81183874879,225.71428571428572,33.390189605701316,259.10447531998705,192.3240961085844
82191,2020-11-04 00:00:00+00:00,Italy,28241,759829,353,27864.428571428572,3430.685541654076,31295.114113082647,24433.743029774498,244.57142857142858,58.28052031012569,302.8519488815543,186.2909082613029
82192,2020-11-05 00:00:00+00:00,Italy,30548,790377,335,28658.714285714286,3294.6700752521397,31953.384360966425,25364.044210462147,263.14285714285717,64.00111606169679,327.14397320455396,199.14174108116038
82193,2020-11-06 00:00:00+00:00,Italy,34502,824879,445,29754.85714285714,3819.1302425452636,33573.987385402404,25935.726900311878,295.7142857142857,89.52972371548657,385.2440094297723,206.18456199879915
82194,2020-11-07 00:00:00+00:00,Italy,37802,862681,446,30715.285714285714,4900.012371218594,35615.298085504306,25815.27334306712,331.0,93.63937918062715,424.63937918062715,237.36062081937285
82195,2020-11-08 00:00:00+00:00,Italy,39809,902490,425,31865.714285714286,6005.676196018946,37871.39048173323,25860.03808969534,349.2857142857143,98.2763353775365,447.5620496632508,251.00937890817778
82196,2020-11-09 00:00:00+00:00,Italy,32614,935104,331,32252.714285714286,5945.250589456141,38197.96487517043,26307.463696258146,366.85714285714283,77.63252877376509,444.48967163090794,289.22461408337773
82197,2020-11-10 00:00:00+00:00,Italy,25269,960373,356,32683.571428571428,5156.784232353302,37840.35566092473,27526.787196218123,384.42857142857144,51.96106601054604,436.3896374391175,332.4675054180254
82198,2020-11-11 00:00:00+00:00,Italy,35090,995463,580,33662.0,4811.57877762937,38473.57877762937,28850.42122237063,416.85714285714283,87.65353875995429,504.51068161709713,329.20360409718853
82199,2020-11-12 00:00:00+00:00,Italy,32961,1028424,623,34006.71428571428,4634.4786011763945,38641.192886890676,29372.23568453789,458.0,108.04628637764446,566.0462863776445,349.9537136223555
