,Date_reported,Country,New_cases,Cumulative_cases,New_deaths,MA,MSTD_cases,OTG_cases,UTG_cases,MA_d,MSTD_deaths,OTG_deaths,UTG_deaths
154035,2021-10-02 00:00:00+00:00,The United Kingdom,32022,7875861,127,32022.0,,,,127.0,,,
154036,2021-10-03 00:00:00+00:00,The United Kingdom,28637,7904498,121,30329.5,2393.5564543164633,32723.056454316462,27935.943545683538,124.0,4.242640687119285,128.2426406871193,119.75735931288071
154037,2021-10-04 00:00:00+00:00,The United Kingdom,25897,7930395,43,28852.0,3068.1549830476297,31920.15498304763,25783.84501695237,97.0,46.861498055439924,143.86149805543994,50.138501944560076
154038,2021-10-05 00:00:00+00:00,The United Kingdom,31505,7961900,33,29515.25,2834.663810166325,32349.913810166327,26680.586189833673,81.0,49.879855653359705,130.8798556533597,31.120144346640295
154039,2021-10-06 00:00:00+00:00,The United Kingdom,43073,8004973,166,32226.8,6541.3306138736025,38768.1306138736,25685.469386126395,98.0,57.54128952326321,155.5412895232632,40.45871047673679
154040,2021-10-07 00:00:00+00:00,The United Kingdom,38622,8043595,143,33292.666666666664,6406.842862648238,39699.509529314906,26885.823804018426,105.5,54.64704932564978,160.1470493256498,50.85295067435022
154041,2021-10-08 00:00:00+00:00,The United Kingdom,38619,8082214,122,34053.57142857143,6185.40178854327,40238.9732171147,27868.169640028158,107.85714285714286,50.274011084020245,158.13115394116312,57.583131773122616
154042,2021-10-09 00:00:00+00:00,The United Kingdom,37880,8120094,124,34890.42857142857,6260.552900427216,41150.98147185579,28629.875671001355,107.42857142857143,50.096098127689025,157.52466955626045,57.332473300882405
154043,2021-10-10 00:00:00+00:00,The United Kingdom,35006,8155100,156,35800.28571428572,5631.462856555294,41431.74857084101,30168.822857730425,112.42857142857143,53.31934340323764,165.74791483180906,59.10922802533379
154044,2021-10-11 00:00:00+00:00,The United Kingdom,31725,8186825,38,36632.857142857145,4162.5493562067395,40795.40649906389,32470.307786650406,111.71428571428571,54.42644665268986,166.14073236697556,57.28783906159585
154045,2021-10-12 00:00:00+00:00,The United Kingdom,35828,8222653,28,37250.42857142857,3550.681101664057,40801.10967309263,33699.747469764516,111.0,55.65069631190611,166.6506963119061,55.34930368809389
154046,2021-10-13 00:00:00+00:00,The United Kingdom,49463,8272116,181,38163.28571428572,5553.608788115037,43716.894502400755,32609.67692617068,113.14285714285714,58.345032840361455,171.4878899832186,54.797824302495684
154047,2021-10-14 00:00:00+00:00,The United Kingdom,47504,8319620,136,39432.142857142855,6593.228329849028,46025.371186991884,32838.914527293826,112.14285714285714,57.80550311584694,169.94836025870407,54.3373540270102
154048,2021-10-15 00:00:00+00:00,The United Kingdom,46985,8366605,157,40627.28571428572,7155.532165494649,47782.81787978037,33471.753548791065,117.14285714285714,60.261730729179945,177.4045878720371,56.881126413677194
154049,2021-10-16 00:00:00+00:00,The United Kingdom,45631,8412236,142,41734.57142857143,7258.5219996255155,48993.093428196946,34476.04942894591,119.71428571428571,60.98282349895552,180.69710921324122,58.73146221533019
154050,2021-10-17 00:00:00+00:00,The United Kingdom,42872,8455108,148,42858.28571428572,6624.42177889979,49482.70749318551,36233.863935385925,118.57142857142857,60.260150300888846,178.8315788723174,58.311278270539724
154051,2021-10-18 00:00:00+00:00,The United Kingdom,37285,8492393,57,43652.57142857143,5259.800657095372,48912.3720856668,38392.770771476055,121.28571428571429,56.3255841387502,177.6112984244645,64.96013014696409
154052,2021-10-19 00:00:00+00:00,The United Kingdom,42982,8535375,45,44674.57142857143,4039.5415935120927,48714.11302208352,40635.02983505934,123.71428571428571,51.81928304442368,175.53356875870938,71.89500266986204
154053,2021-10-20 00:00:00+00:00,The United Kingdom,56711,8592086,223,45710.0,5949.077743650684,51659.07774365068,39760.92225634932,129.71428571428572,61.14930985087317,190.8635955651589,68.56497586341254
154054,2021-10-21 00:00:00+00:00,The United Kingdom,51589,8643675,179,46293.57142857143,6341.785654349585,52635.357082921015,39951.78577422184,135.85714285714286,63.98027969989027,199.83742255703314,71.87686315725259
154055,2021-10-22 00:00:00+00:00,The United Kingdom,50833,8694508,115,46843.28571428572,6574.223774568,53417.50948885372,40269.061939717714,129.85714285714286,63.635494737419855,193.49263759456272,66.221648119723
154056,2021-10-23 00:00:00+00:00,The United Kingdom,44436,8738944,180,46672.57142857143,6626.259549628849,53298.830978200276,40046.31187894258,135.28571428571428,66.40460397119637,201.69031825691064,68.88111031451791
154057,2021-10-24 00:00:00+00:00,The United Kingdom,39981,8778925,135,46259.57142857143,6983.106945983823,53242.67837455525,39276.4644825876,133.42857142857142,66.17113454988547,199.59970597845688,67.25743687868595
154058,2021-10-25 00:00:00+00:00,The United Kingdom,34543,8813468,72,45867.857142857145,7618.43956963566,53486.2967124928,38249.417573221486,135.57142857142858,63.471403384666445,199.04283195609503,72.10002518676214
154059,2021-10-26 00:00:00+00:00,The United Kingdom,35144,8848612,38,44748.142857142855,8623.034547624387,53371.177404767244,36125.108309518466,134.57142857142858,65.16864568910712,199.74007426053572,69.40278288232146
154060,2021-10-27 00:00:00+00:00,The United Kingdom,46641,8895253,263,43309.57142857143,6977.66546100587,50287.236889577296,36331.90596756556,140.28571428571428,75.19688443394067,215.48259871965496,65.08882985177361
154061,2021-10-28 00:00:00+00:00,The United Kingdom,41416,8936669,207,41856.28571428572,5949.499858931725,47805.78557321744,35906.78585535399,144.28571428571428,78.28093485584316,222.56664914155743,66.00477942987112
154062,2021-10-29 00:00:00+00:00,The United Kingdom,42277,8978946,165,40634.0,4500.315100079111,45134.31510007911,36133.68489992089,151.42857142857142,77.43999212908264,228.86856355765406,73.98857929948878
154063,2021-10-30 00:00:00+00:00,The United Kingdom,40657,9019603,186,40094.142857142855,4183.742759323349,44277.88561646621,35910.4000978195,152.28571428571428,77.84110800366408,230.12682228937837,74.4446062820502
154064,2021-10-31 00:00:00+00:00,The United Kingdom,39535,9059138,166,40030.42857142857,4189.145571479666,44219.57414290824,35841.282999948904,156.71428571428572,77.57515557125723,234.28944128554295,79.1391301430285
