Date_reported,Country,New_cases,New_deaths,MA,MA_deaths,MSTD_cases,MSTD_deaths,OTG_cases,UTG_cases,OTG_deaths,UTG_deaths
2020-12-25 00:00:00+00:00,Micronesia (Federated States of),0,0,0.0,0.0,0.0,3.902691969101666e-05,0.0,0.0,3.902691969101666e-05,-3.902691969101666e-05
2020-12-26 00:00:00+00:00,Micronesia (Federated States of),0,0,0.0,0.0,0.0,3.902691969101666e-05,0.0,0.0,3.902691969101666e-05,-3.902691969101666e-05
2020-12-27 00:00:00+00:00,Micronesia (Federated States of),0,0,0.0,0.0,0.0,3.902691969101666e-05,0.0,0.0,3.902691969101666e-05,-3.902691969101666e-05
2020-12-28 00:00:00+00:00,Micronesia (Federated States of),0,0,0.0,0.0,0.0,3.902691969101666e-05,0.0,0.0,3.902691969101666e-05,-3.902691969101666e-05
2020-12-29 00:00:00+00:00,Micronesia (Federated States of),0,0,0.0,0.0,0.0,3.902691969101666e-05,0.0,0.0,3.902691969101666e-05,-3.902691969101666e-05
2020-12-30 00:00:00+00:00,Micronesia (Federated States of),0,0,0.0,0.0,0.0,3.902691969101666e-05,0.0,0.0,3.902691969101666e-05,-3.902691969101666e-05
2020-12-31 00:00:00+00:00,Micronesia (Federated States of),0,0,0.0,0.0,0.0,3.902691969101666e-05,0.0,0.0,3.902691969101666e-05,-3.902691969101666e-05
2021-01-01 00:00:00+00:00,Micronesia (Federated States of),0,0,0.0,0.0,0.0,3.902691969101666e-05,0.0,0.0,3.902691969101666e-05,-3.902691969101666e-05
2021-01-02 00:00:00+00:00,Micronesia (Federated States of),0,0,0.0,0.0,0.0,3.902691969101666e-05,0.0,0.0,3.902691969101666e-05,-3.902691969101666e-05
2021-01-03 00:00:00+00:00,Micronesia (Federated States of),0,0,0.0,0.0,0.0,3.902691969101666e-05,0.0,0.0,3.902691969101666e-05,-3.902691969101666e-05
2020-10-01 00:00:00+00:00,Monaco,4,0,2.7142857142857144,0.14285714285714285,2.360385528316958,0.3779644750235232,5.0746712426026725,0.3539001859687563,0.520821617880666,-0.23510733216638036
2020-10-02 00:00:00+00:00,Monaco,1,0,2.0,0.14285714285714285,1.914851936157491,0.3779644750235232,3.9148519361574907,0.08514806384250906,0.520821617880666,-0.23510733216638036
2020-10-03 00:00:00+00:00,Monaco,2,0,1.5714285714285714,0.0,1.397273138312012,3.902691969101666e-05,2.9687017097405834,0.17415543311655934,3.902691969101666e-05,-3.902691969101666e-05
2020-10-04 00:00:00+00:00,Monaco,1,0,1.7142857142857142,0.0,1.2535628592615307,3.902691969101666e-05,2.967848573547245,0.46072285502418353,3.902691969101666e-05,-3.902691969101666e-05
2020-10-05 00:00:00+00:00,Monaco,0,0,1.7142857142857142,0.0,1.2535628592615307,3.902691969101666e-05,2.967848573547245,0.46072285502418353,3.902691969101666e-05,-3.902691969101666e-05
2020-10-06 00:00:00+00:00,Monaco,1,0,1.5714285714285714,0.0,1.2724145903419082,3.902691969101666e-05,2.8438431617704794,0.2990139810866632,3.902691969101666e-05,-3.902691969101666e-05
2020-10-07 00:00:00+00:00,Monaco,1,0,1.4285714285714286,0.0,1.272414590332467,3.902691969101666e-05,2.7009860189038957,0.15615683823896154,3.902691969101666e-05,-3.902691969101666e-05
2020-10-08 00:00:00+00:00,Monaco,3,0,1.2857142857142858,0.0,0.9511851425359837,3.902691969101666e-05,2.2368994282502697,0.33452914317830207,3.902691969101666e-05,-3.902691969101666e-05
2020-10-09 00:00:00+00:00,Monaco,2,0,1.4285714285714286,0.0,0.9758956004738792,3.902691969101666e-05,2.404467029045308,0.45267582809754936,3.902691969101666e-05,-3.902691969101666e-05
2020-10-10 00:00:00+00:00,Monaco,4,0,1.7142857142857142,0.0,1.3801279561885837,3.902691969101666e-05,3.0944136704742977,0.33415775809713044,3.902691969101666e-05,-3.902691969101666e-05
2020-10-11 00:00:00+00:00,Monaco,0,0,1.5714285714285714,0.0,1.5118550050787385,3.902691969101666e-05,3.08328357650731,0.05957356634983291,3.902691969101666e-05,-3.902691969101666e-05
2020-10-12 00:00:00+00:00,Monaco,1,0,1.7142857142857142,0.0,1.3801279561885837,3.902691969101666e-05,3.0944136704742977,0.33415775809713044,3.902691969101666e-05,-3.902691969101666e-05
2020-10-13 00:00:00+00:00,Monaco,2,0,1.8571428571428572,0.0,1.3451821736252707,3.902691969101666e-05,3.2023250307681277,0.5119606835175865,3.902691969101666e-05,-3.902691969101666e-05
2020-10-14 00:00:00+00:00,Monaco,5,0,2.4285714285714284,0.0,1.7182468458264242,3.902691969101666e-05,4.1468182743978526,0.7103245827450042,3.902691969101666e-05,-3.902691969101666e-05
2020-10-15 00:00:00+00:00,Monaco,7,0,3.0,0.0,2.4494879609640066,3.902691969101666e-05,5.449487960964007,0.5505120390359934,3.902691969101666e-05,-3.902691969101666e-05
2020-10-16 00:00:00+00:00,Monaco,5,0,3.4285714285714284,0.0,2.5071309412741036,3.902691969101666e-05,5.935702369845532,0.9214404872973248,3.902691969101666e-05,-3.902691969101666e-05
2020-10-17 00:00:00+00:00,Monaco,2,0,3.142857142857143,0.0,2.5448343260656694,3.902691969101666e-05,5.687691468922813,0.5980228167914734,3.902691969101666e-05,-3.902691969101666e-05
2020-10-18 00:00:00+00:00,Monaco,5,0,3.857142857142857,0.0,2.193060665046814,3.902691969101666e-05,6.050203522189671,1.6640821920960431,3.902691969101666e-05,-3.902691969101666e-05
2020-10-19 00:00:00+00:00,Monaco,5,0,4.428571428571429,0.0,1.8126515265936127,3.902691969101666e-05,6.241222955165042,2.615919901977816,3.902691969101666e-05,-3.902691969101666e-05
2020-10-20 00:00:00+00:00,Monaco,3,0,4.571428571428571,0.0,1.6183444905889208,3.902691969101666e-05,6.189773062017492,2.95308408083965,3.902691969101666e-05,-3.902691969101666e-05
2020-10-21 00:00:00+00:00,Monaco,3,0,4.285714285714286,0.0,1.7043336457060714,3.902691969101666e-05,5.9900479314203565,2.581380640008214,3.902691969101666e-05,-3.902691969101666e-05
2020-10-22 00:00:00+00:00,Monaco,2,0,3.5714285714285716,0.0,1.3972731384323778,3.902691969101666e-05,4.96870170986095,2.174155432996194,3.902691969101666e-05,-3.902691969101666e-05
2020-10-23 00:00:00+00:00,Monaco,8,0,4.0,0.0,2.1602448791149715,3.902691969101666e-05,6.1602448791149715,1.8397551208850285,3.902691969101666e-05,-3.902691969101666e-05
2020-10-24 00:00:00+00:00,Monaco,14,0,5.714285714285714,0.0,4.151877468020864,3.902691969101666e-05,9.866163182306579,1.5624082462648508,3.902691969101666e-05,-3.902691969101666e-05
2020-10-25 00:00:00+00:00,Monaco,1,0,5.142857142857143,0.0,4.525061518638004,3.902691969101666e-05,9.667918661495147,0.6177956242191396,3.902691969101666e-05,-3.902691969101666e-05
2020-10-26 00:00:00+00:00,Monaco,10,0,5.857142857142857,0.0,4.879499470326023,3.902691969101666e-05,10.736642327468878,0.9776433868168342,3.902691969101666e-05,-3.902691969101666e-05
2020-10-27 00:00:00+00:00,Monaco,4,0,6.0,0.0,4.795830613294443,3.902691969101666e-05,10.795830613294443,1.2041693867055567,3.902691969101666e-05,-3.902691969101666e-05
2020-10-28 00:00:00+00:00,Monaco,10,0,7.0,0.0,4.795830613311977,3.902691969101666e-05,11.795830613311978,2.204169386688023,3.902691969101666e-05,-3.902691969101666e-05
2020-10-29 00:00:00+00:00,Monaco,17,0,9.142857142857142,0.0,5.4902503052955485,3.902691969101666e-05,14.63310744815269,3.652606837561594,3.902691969101666e-05,-3.902691969101666e-05
2020-10-30 00:00:00+00:00,Monaco,10,0,9.428571428571429,0.0,5.472876046866924,3.902691969101666e-05,14.901447475438353,3.955695381704505,3.902691969101666e-05,-3.902691969101666e-05
2020-10-31 00:00:00+00:00,Monaco,8,0,8.571428571428571,0.0,5.094347085174466,3.902691969101666e-05,13.665775656603037,3.4770814862541055,3.902691969101666e-05,-3.902691969101666e-05
2020-11-01 00:00:00+00:00,Monaco,4,0,9.0,0.0,4.434710581152209,3.902691969101666e-05,13.43471058115221,4.565289418847791,3.902691969101666e-05,-3.902691969101666e-05
2020-11-02 00:00:00+00:00,Monaco,7,0,8.571428571428571,0.0,4.466807833814386,3.902691969101666e-05,13.038236405242957,4.104620737614185,3.902691969101666e-05,-3.902691969101666e-05
2020-11-03 00:00:00+00:00,Monaco,9,0,9.285714285714286,0.0,3.9880763754881436,3.902691969101666e-05,13.27379066120243,5.297637910226143,3.902691969101666e-05,-3.902691969101666e-05
2020-11-04 00:00:00+00:00,Monaco,22,0,11.0,0.0,6.271628544930446,3.902691969101666e-05,17.271628544930447,4.728371455069554,3.902691969101666e-05,-3.902691969101666e-05
2020-11-05 00:00:00+00:00,Monaco,15,0,10.714285714285714,0.0,5.9920575078154,3.902691969101666e-05,16.706343222101115,4.722228206470313,3.902691969101666e-05,-3.902691969101666e-05
2020-11-06 00:00:00+00:00,Monaco,18,0,11.857142857142858,0.0,6.568321582813554,3.902691969101666e-05,18.42546443995641,5.288821274329304,3.902691969101666e-05,-3.902691969101666e-05
2020-11-07 00:00:00+00:00,Monaco,24,0,14.142857142857142,0.0,7.690438766132839,3.902691969101666e-05,21.83329590898998,6.452418376724303,3.902691969101666e-05,-3.902691969101666e-05
2020-11-08 00:00:00+00:00,Monaco,29,0,17.714285714285715,0.0,7.994044857151118,3.902691969101666e-05,25.708330571436832,9.720240857134598,3.902691969101666e-05,-3.902691969101666e-05
2020-11-09 00:00:00+00:00,Monaco,3,0,17.142857142857142,0.0,8.970851785057912,3.902691969101666e-05,26.113708927915056,8.17200535779923,3.902691969101666e-05,-3.902691969101666e-05
2020-11-10 00:00:00+00:00,Monaco,4,0,16.428571428571427,0.0,9.880234758962649,3.902691969101666e-05,26.308806187534074,6.548336669608778,3.902691969101666e-05,-3.902691969101666e-05
2020-11-11 00:00:00+00:00,Monaco,22,0,16.428571428571427,0.0,9.880234758962649,3.902691969101666e-05,26.308806187534074,6.548336669608778,3.902691969101666e-05,-3.902691969101666e-05
2020-11-12 00:00:00+00:00,Monaco,12,0,16.0,0.0,10.016652365257933,3.902691969101666e-05,26.016652365257933,5.983347634742067,3.902691969101666e-05,-3.902691969101666e-05
2020-11-13 00:00:00+00:00,Monaco,8,0,14.571428571428571,0.0,10.390013100339896,3.902691969101666e-05,24.96144167176847,4.181415471088675,3.902691969101666e-05,-3.902691969101666e-05
2020-11-14 00:00:00+00:00,Monaco,8,0,12.285714285714286,0.0,9.707630324160707,3.902691969101666e-05,21.993344609874995,2.5780839615535793,3.902691969101666e-05,-3.902691969101666e-05
2020-11-15 00:00:00+00:00,Monaco,5,0,8.857142857142858,0.0,6.542898064421944,3.902691969101666e-05,15.400040921564802,2.3142447927209133,3.902691969101666e-05,-3.902691969101666e-05
2020-11-16 00:00:00+00:00,Monaco,3,0,8.857142857142858,0.0,6.542898064421944,3.902691969101666e-05,15.400040921564802,2.3142447927209133,3.902691969101666e-05,-3.902691969101666e-05
2020-11-17 00:00:00+00:00,Monaco,4,0,8.857142857142858,0.0,6.542898064421944,3.902691969101666e-05,15.400040921564802,2.3142447927209133,3.902691969101666e-05,-3.902691969101666e-05
2020-11-18 00:00:00+00:00,Monaco,5,1,6.428571428571429,0.14285714285714285,3.1014575429194204,0.3779644750235232,9.53002897149085,3.3271138856520084,0.520821617880666,-0.23510733216638036
2020-11-19 00:00:00+00:00,Monaco,8,0,5.857142857142857,0.14285714285714285,2.1156988792308122,0.3779644750235232,7.9728417363736686,3.7414439779120445,0.520821617880666,-0.23510733216638036
2020-11-20 00:00:00+00:00,Monaco,8,0,5.857142857142857,0.14285714285714285,2.1156988792308122,0.3779644750235232,7.9728417363736686,3.7414439779120445,0.520821617880666,-0.23510733216638036
2020-11-21 00:00:00+00:00,Monaco,4,0,5.285714285714286,0.14285714285714285,1.9760448314888595,0.3779644750235232,7.261759117203145,3.309669454225426,0.520821617880666,-0.23510733216638036
2020-11-22 00:00:00+00:00,Monaco,4,0,5.142857142857143,0.14285714285714285,2.03539883416618,0.3779644750235232,7.178255977023323,3.1074583086909633,0.520821617880666,-0.23510733216638036
2020-11-23 00:00:00+00:00,Monaco,1,0,4.857142857142857,0.14285714285714285,2.4784770352127516,0.3779644750235232,7.335619892355608,2.378665821930105,0.520821617880666,-0.23510733216638036
2020-11-24 00:00:00+00:00,Monaco,1,0,4.428571428571429,0.14285714285714285,2.878490152295479,0.3779644750235232,7.3070615808669075,1.5500812762759497,0.520821617880666,-0.23510733216638036
2020-11-25 00:00:00+00:00,Monaco,4,0,4.285714285714286,0.0,2.8702067014796993,3.902691969101666e-05,7.155920987193985,1.4155075842345863,3.902691969101666e-05,-3.902691969101666e-05
2020-11-26 00:00:00+00:00,Monaco,7,0,4.142857142857143,0.0,2.6726107860960324,3.902691969101666e-05,6.815467928953176,1.4702463567611108,3.902691969101666e-05,-3.902691969101666e-05
2020-11-27 00:00:00+00:00,Monaco,6,0,3.857142857142857,0.0,2.267784913502336,3.902691969101666e-05,6.1249277706451934,1.5893579436405214,3.902691969101666e-05,-3.902691969101666e-05
2020-11-28 00:00:00+00:00,Monaco,3,0,3.7142857142857144,0.0,2.2886866341032497,3.902691969101666e-05,6.002972348388964,1.4255990801824647,3.902691969101666e-05,-3.902691969101666e-05
2020-11-29 00:00:00+00:00,Monaco,4,0,3.7142857142857144,0.0,2.2886866341032497,3.902691969101666e-05,6.002972348388964,1.4255990801824647,3.902691969101666e-05,-3.902691969101666e-05
2020-11-30 00:00:00+00:00,Monaco,1,0,3.7142857142857144,0.0,2.2886866341032497,3.902691969101666e-05,6.002972348388964,1.4255990801824647,3.902691969101666e-05,-3.902691969101666e-05
2020-12-01 00:00:00+00:00,Monaco,1,0,3.7142857142857144,0.0,2.2886866341032497,3.902691969101666e-05,6.002972348388964,1.4255990801824647,3.902691969101666e-05,-3.902691969101666e-05
2020-12-02 00:00:00+00:00,Monaco,8,0,4.285714285714286,0.0,2.811539289408142,3.902691969101666e-05,7.097253575122428,1.4741749963061435,3.902691969101666e-05,-3.902691969101666e-05
2020-12-03 00:00:00+00:00,Monaco,4,0,3.857142857142857,0.0,2.5448343260892505,3.902691969101666e-05,6.401977183232107,1.3123085310536067,3.902691969101666e-05,-3.902691969101666e-05
2020-12-04 00:00:00+00:00,Monaco,9,0,4.285714285714286,0.0,3.147181783101453,3.902691969101666e-05,7.432896068815738,1.1385325026128328,3.902691969101666e-05,-3.902691969101666e-05
