,Date_reported,Country,New_cases,Cumulative_cases,New_deaths,MA,MSTD_cases,OTG_cases,UTG_cases,MA_d,MSTD_deaths,OTG_deaths,UTG_deaths
61030,2021-05-19 00:00:00+00:00,Germany,11040,3614095,284,9401.42857142857,4409.661810809755,13811.090382238326,4991.766760618816,183.57142857142858,88.9360390821347,272.50746765356325,94.63538948929389
61031,2021-05-20 00:00:00+00:00,Germany,12298,3626393,237,8669.857142857143,3083.0991133690136,11752.956256226156,5586.75802948813,177.71428571428572,82.8205173567398,260.5348030710255,94.89376835754592
61032,2021-05-21 00:00:00+00:00,Germany,8769,3635162,226,8303.142857142857,2857.5384761813416,11160.681333324199,5445.604380961515,182.85714285714286,84.80453716523348,267.66168002237634,98.05260569190938
61033,2021-05-22 00:00:00+00:00,Germany,7082,3642244,170,8187.142857142857,2893.174636310451,11080.317493453309,5293.968220832406,181.85714285714286,84.92629857986356,266.78344143700645,96.9308442772793
61034,2021-05-23 00:00:00+00:00,Germany,6714,3648958,82,7932.0,2939.3690366017263,10871.369036601725,4992.630963398274,183.42857142857142,82.60318222856586,266.0317536571373,100.82538920000556
61035,2021-05-24 00:00:00+00:00,Germany,2682,3651640,43,7542.0,3463.782662542924,11005.782662542924,4078.217337457076,180.42857142857142,87.87653676770414,268.30510819627557,92.55203466086728
61036,2021-05-25 00:00:00+00:00,Germany,1911,3653551,33,7213.714285714285,3912.1948960604586,11125.909181774743,3301.5193896538267,153.57142857142858,101.13828345860097,254.70971203002955,52.43314511282762
61037,2021-05-26 00:00:00+00:00,Germany,2626,3656177,270,6011.714285714285,3832.4197192846004,9844.134004998887,2179.294566429685,151.57142857142858,98.22568764984875,249.79711622127735,53.34574092157983
61038,2021-05-27 00:00:00+00:00,Germany,6313,3662490,269,5156.714285714285,2695.0836545015486,7851.797940215834,2461.6306312127367,156.14285714285714,103.46888191050226,259.61173905335943,52.67397523235488
61039,2021-05-28 00:00:00+00:00,Germany,7380,3669870,192,4958.285714285715,2422.107533690735,7380.39324797645,2536.1781805949795,151.28571428571428,100.39540873584824,251.6811230215625,50.89030554986604
61040,2021-05-29 00:00:00+00:00,Germany,5426,3675296,163,4721.714285714285,2255.233226245438,6976.947511959723,2466.4810594688474,150.28571428571428,100.2126310829696,250.49834536868389,50.073083202744684
61041,2021-05-30 00:00:00+00:00,Germany,3852,3679148,56,4312.857142857143,2087.0039473345428,6399.861090191685,2225.8531955226003,146.57142857142858,103.59031026574019,250.16173883716877,42.9811183056884
61042,2021-05-31 00:00:00+00:00,Germany,1978,3681126,36,4212.285714285715,2192.9650182864416,6405.250732572156,2019.320695999273,145.57142857142858,104.78367739118046,250.35510596260906,40.78775118024812
61043,2021-06-01 00:00:00+00:00,Germany,1785,3682911,153,4194.285714285715,2215.404606709134,6409.690320994849,1978.8811075765807,162.71428571428572,92.37913596643291,255.09342168071862,70.33514974785281
61044,2021-06-02 00:00:00+00:00,Germany,4917,3687828,179,4521.571428571428,2111.914207312199,6633.485635883628,2409.6572212592296,149.71428571428572,80.39012021742077,230.10440593170648,69.32416549686495
61045,2021-06-03 00:00:00+00:00,Germany,4640,3692468,166,4282.571428571428,1964.9449404619722,6247.516369033401,2317.626488109456,135.0,62.31104770958837,197.31104770958837,72.68895229041163
61046,2021-06-04 00:00:00+00:00,Germany,3165,3695633,86,3680.4285714285716,1430.7877617057957,5111.216333134367,2249.640809722776,119.85714285714286,58.939032260544046,178.79617511768691,60.918110596598815
61047,2021-06-05 00:00:00+00:00,Germany,2294,3697927,122,3233.0,1275.1954098618683,4508.195409861868,1957.8045901381317,114.0,55.895736271501605,169.89573627150162,58.104263728498395
61048,2021-06-06 00:00:00+00:00,Germany,2440,3700367,74,3031.285714285714,1272.635548024129,4303.921262309843,1758.6501662615851,116.57142857142857,53.12832622640182,169.6997547978304,63.44310234502675
61049,2021-06-07 00:00:00+00:00,Germany,1117,3701484,22,2908.285714285714,1424.0074571766363,4332.29317146235,1484.278257109078,114.57142857142857,56.80333658878653,171.3747651602151,57.76809198264204
61050,2021-06-08 00:00:00+00:00,Germany,1204,3702688,140,2825.285714285714,1514.4514644235605,4339.737178709274,1310.8342498621537,112.71428571428571,55.535917163922136,168.25020287820786,57.17836855036357
61051,2021-06-09 00:00:00+00:00,Germany,3254,3705942,107,2587.714285714286,1236.5830224566366,3824.2973081709224,1351.1312632576492,102.42857142857143,47.26470544658355,149.693276875155,55.16386598198788
61052,2021-06-10 00:00:00+00:00,Germany,3187,3709129,94,2380.1428571428573,914.7395674124346,3294.882424555292,1465.4032897304228,92.14285714285714,38.063230601322374,130.2060877441795,54.079626541534765
61053,2021-06-11 00:00:00+00:00,Germany,2440,3711569,102,2276.5714285714284,849.8023019387275,3126.373730510156,1426.769126632701,94.42857142857143,38.113239794315156,132.5418112228866,56.315331634256275
61054,2021-06-12 00:00:00+00:00,Germany,1911,3713480,129,2221.8571428571427,860.7522734154595,3082.609416272602,1361.1048694416831,95.42857142857143,39.03783268769288,134.4664041162643,56.390738740878554
61055,2021-06-13 00:00:00+00:00,Germany,1489,3714969,18,2086.0,894.9543750006109,2980.954375000611,1191.045624999389,87.42857142857143,48.702693775111655,136.13126520368309,38.725877653459776
61056,2021-06-14 00:00:00+00:00,Germany,549,3715518,10,2004.857142857143,1015.1337233044096,3019.9908661615527,989.7234195527333,85.71428571428571,51.519298279751574,137.23358399403728,34.194987434534134
61057,2021-06-15 00:00:00+00:00,Germany,652,3716170,93,1926.0,1105.1621298853522,3031.1621298853524,820.8378701146478,79.0,46.03621762626953,125.03621762626953,32.96378237373047
61058,2021-06-16 00:00:00+00:00,Germany,1455,3717625,137,1669.0,942.0026539237483,2611.0026539237483,726.9973460762517,83.28571428571429,50.27827325898016,133.56398754469444,33.007441026734135
61059,2021-06-17 00:00:00+00:00,Germany,1330,3718955,105,1403.7142857142858,663.5982002898642,2067.31248600415,740.1160854244216,84.85714285714286,50.837743758708534,135.6948866158514,34.01939909843433
61060,2021-06-18 00:00:00+00:00,Germany,1076,3720031,91,1208.857142857143,484.7505986138758,1693.6077414710187,724.1065442432671,83.28571428571429,50.38754570233282,133.6732599880471,32.89816858338147
61061,2021-06-19 00:00:00+00:00,Germany,1108,3721139,99,1094.142857142857,373.0395102262494,1467.1823673691065,721.1033469166077,79.0,47.014182257413026,126.01418225741303,31.985817742586974
61062,2021-06-20 00:00:00+00:00,Germany,842,3721981,16,1001.7142857142857,337.34587309554934,1339.060158809835,664.3684126187363,78.71428571428571,47.45072632290621,126.16501203719193,31.263559391379495
61063,2021-06-21 00:00:00+00:00,Germany,346,3722327,10,972.7142857142857,387.7149787682494,1360.429264482535,584.9993069460363,78.71428571428571,47.45072632290621,126.16501203719193,31.263559391379495
61064,2021-06-22 00:00:00+00:00,Germany,455,3722782,77,944.5714285714286,420.62725269963664,1365.1986812710652,523.9441758717919,76.42857142857143,47.03139782052301,123.45996924909444,29.39717360804842
61065,2021-06-23 00:00:00+00:00,Germany,1016,3723798,51,881.8571428571429,360.23068006001205,1242.0878229171549,521.6264627971309,64.14285714285714,39.142596453771034,103.28545359662817,25.000260689086105
61066,2021-06-24 00:00:00+00:00,Germany,1008,3724806,93,835.8571428571429,310.6082358692866,1146.4653787264294,525.2489069878563,62.42857142857143,37.27312321614095,99.70169464471238,25.15544821243048
61067,2021-06-25 00:00:00+00:00,Germany,774,3725580,62,792.7142857142857,292.11682268330713,1084.8311083975927,500.59746303097853,58.285714285714285,35.11748987666979,93.40320416238407,23.168224409044498
61068,2021-06-26 00:00:00+00:00,Germany,592,3726172,68,719.0,262.94422729167593,981.9442272916759,456.05577270832407,53.857142857142854,30.818979928113006,84.67612278525586,23.03816292902985
61069,2021-06-27 00:00:00+00:00,Germany,538,3726710,8,675.5714285714286,264.3443821614158,939.9158107328444,411.22704641001275,52.714285714285715,32.55617855192268,85.27046426620839,20.158107162363038
61070,2021-06-28 00:00:00+00:00,Germany,219,3726929,8,657.4285714285714,293.48586402125056,950.914435449822,363.9427074073209,52.42857142857143,32.99927849138961,85.42784991996103,19.42929293718182
61071,2021-06-29 00:00:00+00:00,Germany,404,3727333,57,650.1428571428571,299.91133610311704,950.0541932459741,350.2315210397401,49.57142857142857,31.341437655053756,80.91286622648232,18.229990916374813
61072,2021-06-30 00:00:00+00:00,Germany,808,3728141,56,620.4285714285714,266.0099353663918,886.4385067949632,354.41863606217964,50.285714285714285,31.436254472153685,81.72196875786797,18.8494598135606
61073,2021-07-01 00:00:00+00:00,Germany,892,3729033,63,603.8571428571429,240.2029895522156,844.0601324093585,363.65415330492726,46.0,26.261505415085647,72.26150541508565,19.738494584914353
61074,2021-07-02 00:00:00+00:00,Germany,649,3729682,69,586.0,229.87025325752413,815.8702532575242,356.12974674247585,47.0,27.092434368286405,74.0924343682864,19.907565631713595
61075,2021-07-03 00:00:00+00:00,Germany,671,3730353,16,597.2857142857143,232.1419926709731,829.4277069566874,365.14372161474125,39.57142857142857,27.50064934298131,67.07207791440987,12.070779228447261
61076,2021-07-04 00:00:00+00:00,Germany,559,3730912,7,600.2857142857143,231.38259390293436,831.6683081886487,368.90312038278,39.42857142857143,27.693905122829552,67.12247655140098,11.734666305741879
61077,2021-07-05 00:00:00+00:00,Germany,212,3731124,1,599.2857142857143,233.31217591012447,832.5978901958388,365.9735383755899,38.42857142857143,29.108172637347366,67.5367440659188,9.320398791224065
61078,2021-07-06 00:00:00+00:00,Germany,440,3731564,31,604.4285714285714,228.64007897486246,833.0686504034339,375.78849245370895,34.714285714285715,27.980435341585814,62.694721055871526,6.7338503726999015
61079,2021-07-07 00:00:00+00:00,Germany,985,3732549,48,629.7142857142857,262.2261837191664,891.9404694334521,367.4881019951193,33.57142857142857,27.116152276560488,60.687580847989054,6.4552762948680815
61080,2021-07-08 00:00:00+00:00,Germany,970,3733519,31,640.8571428571429,276.4979979249214,917.3551407820643,364.3591449322215,29.0,23.82575637134249,52.82575637134249,5.174243628657511
61081,2021-07-09 00:00:00+00:00,Germany,949,3734468,49,683.7142857142857,300.2042162061019,983.9185019203876,383.5100695081838,26.142857142857142,18.924662669193257,45.0675198120504,7.2181944736638854
61082,2021-07-10 00:00:00+00:00,Germany,952,3735420,35,723.8571428571429,316.56248912838606,1040.419631985529,407.2946537287568,28.857142857142858,18.58698981750652,47.44413267464938,10.270153039636337
61083,2021-07-11 00:00:00+00:00,Germany,745,3736165,6,750.4285714285714,308.1119153494447,1058.5404867780162,442.31665607912674,28.714285714285715,18.785759550911493,47.50004526519721,9.928526163374222
61084,2021-07-12 00:00:00+00:00,Germany,324,3736489,2,766.4285714285714,276.8097163160474,1043.238287744619,489.61885511252405,28.857142857142858,18.542101386019446,47.3992442431623,10.315041471123411
61085,2021-07-13 00:00:00+00:00,Germany,646,3737135,26,795.8571428571429,245.50181843826644,1041.3589612954092,550.3553244188764,28.142857142857142,18.542101386019443,46.684958528876585,9.6007557568377
61086,2021-07-14 00:00:00+00:00,Germany,1548,3738683,28,876.2857142857143,375.56389349163175,1251.8496077773461,500.7218207940826,25.285714285714285,16.388149028225484,41.67386331393977,8.8975652574888
61087,2021-07-15 00:00:00+00:00,Germany,1642,3740325,32,972.2857142857143,475.9750393608863,1448.2607536466007,496.31067492482805,25.428571428571427,16.450502959452244,41.87907438802367,8.978068469119183
61088,2021-07-16 00:00:00+00:00,Germany,1456,3741781,18,1044.7142857142858,509.25262698841317,1553.966912702699,535.4616587258727,21.0,12.819256348682295,33.819256348682295,8.180743651317705
61089,2021-07-17 00:00:00+00:00,Germany,1608,3743389,22,1138.4285714285713,548.2164588131689,1686.6450302417402,590.2121126154025,19.142857142857142,11.305287427103353,30.448144569960498,7.837569715753789
61090,2021-07-18 00:00:00+00:00,Germany,1292,3744681,3,1216.5714285714287,521.1048701688114,1737.67629874024,695.4665584026172,18.714285714285715,11.926361357848942,30.640647072134655,6.787924356436774
61091,2021-07-19 00:00:00+00:00,Germany,546,3745227,1,1248.2857142857142,461.0212266565833,1709.3069409422974,787.2644876291309,18.571428571428573,12.16356777233876,30.734996343767335,6.407860799089812
61092,2021-07-20 00:00:00+00:00,Germany,1183,3746410,34,1325.0,382.00392668056713,1707.003926680567,942.9960733194329,19.714285714285715,13.300554947244098,33.01484066152982,6.413730767041617
61093,2021-07-21 00:00:00+00:00,Germany,2203,3748613,19,1418.5714285714287,505.87016026545245,1924.4415888368812,912.7012683059762,18.428571428571427,12.791366135755192,31.21993756432662,5.637205292816235
61094,2021-07-22 00:00:00+00:00,Germany,1890,3750503,42,1454.0,532.12874381993,1986.1287438199302,921.87125618007,19.857142857142858,14.937966968190642,34.7951098253335,4.919175888952216
61095,2021-07-23 00:00:00+00:00,Germany,2089,3752592,34,1544.4285714285713,583.8015807735243,2128.2301522020957,960.626990655047,22.142857142857142,15.805363767070409,37.94822090992755,6.3374933757867336
61096,2021-07-24 00:00:00+00:00,Germany,1919,3754511,28,1588.857142857143,601.0256313362944,2189.8827741934374,987.8315115208485,23.0,15.958278938111256,38.958278938111256,7.041721061888744
61097,2021-07-25 00:00:00+00:00,Germany,1387,3755898,4,1602.4285714285713,594.2395300272452,2196.6681014558167,1008.1890414013261,23.142857142857142,15.75255081384459,38.89540795670173,7.390306329012553
61098,2021-07-26 00:00:00+00:00,Germany,958,3756856,3,1661.2857142857142,481.96151792574597,2143.24723221146,1179.3241963599683,23.428571428571427,15.295501984318125,38.72407341288955,8.133069444253302
61099,2021-07-27 00:00:00+00:00,Germany,1545,3758401,38,1713.0,439.65251430273844,2152.6525143027384,1273.3474856972616,24.0,15.821925715071231,39.82192571507123,8.178074284928769
61100,2021-07-28 00:00:00+00:00,Germany,2768,3761169,21,1793.7142857142858,575.4834820345649,2369.1977677488508,1218.2308036797208,24.285714285714285,15.734402707803293,40.020116993517576,8.551311577910992
61101,2021-07-29 00:00:00+00:00,Germany,3142,3764311,21,1972.5714285714287,771.5527325121822,2744.124161083611,1201.0186960592464,21.285714285714285,13.659115219198007,34.94482950491229,7.6265990665162775
61102,2021-07-30 00:00:00+00:00,Germany,2454,3766765,30,2024.7142857142858,792.774392935743,2817.4886786500288,1231.9398927785428,20.714285714285715,13.111245627500834,33.82553134178655,7.6030400867848815
61103,2021-07-31 00:00:00+00:00,Germany,2400,3769165,21,2093.4285714285716,802.8656710270317,2896.294242455603,1290.56290040154,19.714285714285715,12.724180205603009,32.43846591988873,6.990105508682706
61104,2021-08-01 00:00:00+00:00,Germany,2097,3771262,1,2194.8571428571427,741.2283563045063,2936.085499161649,1453.6287865526365,19.285714285714285,13.375528471976697,32.661242757690985,5.910185813737588
61105,2021-08-02 00:00:00+00:00,Germany,847,3772109,1,2179.0,772.6210800468343,2951.6210800468343,1406.3789199531657,19.0,13.796134724379527,32.79613472437953,5.203865275620473
61106,2021-08-03 00:00:00+00:00,Germany,1766,3773875,19,2210.5714285714284,746.4689895637708,2957.040418135199,1464.1024390076577,16.285714285714285,11.025943432256714,27.311657717971,5.259770853457571
61107,2021-08-04 00:00:00+00:00,Germany,3571,3777446,25,2325.285714285714,893.6087350893455,3218.8944493750596,1431.6769791963688,16.857142857142858,11.408017230998283,28.26516008814114,5.449125626144575
61108,2021-08-05 00:00:00+00:00,Germany,3539,3780985,26,2382.0,963.9142423815914,3345.9142423815915,1418.0857576184085,17.571428571428573,11.858290248553727,29.4297188199823,5.713138322874846
61109,2021-08-06 00:00:00+00:00,Germany,3448,3784433,24,2524.0,1046.0089228424788,3570.0089228424786,1477.9910771575212,16.714285714285715,10.995670143500051,27.709955857785765,5.718615570785664
61110,2021-08-07 00:00:00+00:00,Germany,3206,3787639,24,2639.1428571428573,1074.0694311154018,3713.212288258259,1565.0734260274555,17.142857142857142,11.246163366948176,28.38902050980532,5.896693775908966
61111,2021-08-08 00:00:00+00:00,Germany,3127,3790766,4,2786.285714285714,1057.8499758604698,3844.135690146184,1728.4357384252444,17.571428571428573,10.56499160524723,28.136420176675802,7.006436966181344
61112,2021-08-09 00:00:00+00:00,Germany,1183,3791949,2,2834.285714285714,958.1098952771538,3792.3956095628682,1876.1758190085604,17.714285714285715,10.307186582088834,28.021472296374547,7.4070991321968815
61113,2021-08-10 00:00:00+00:00,Germany,2480,3794429,19,2936.285714285714,858.2252451588697,3794.510959444584,2078.0604691268445,17.714285714285715,10.307186582088834,28.021472296374547,7.4070991321968815
61114,2021-08-11 00:00:00+00:00,Germany,4996,3799425,14,3139.8571428571427,1152.4448545837586,4292.301997440902,1987.412288273384,16.142857142857142,9.83918308648742,25.982040229344562,6.303674056369722
61115,2021-08-12 00:00:00+00:00,Germany,5638,3805063,17,3439.714285714286,1495.5922700036551,4935.306555717941,1944.1220157106306,14.857142857142858,8.877472827861524,23.734615685004382,5.979670029281333
61116,2021-08-13 00:00:00+00:00,Germany,5578,3810641,19,3744.0,1700.237532424845,5444.237532424845,2043.762467575155,14.142857142857142,8.19407451410791,22.336931656965053,5.948782628749232
61117,2021-08-14 00:00:00+00:00,Germany,5644,3816285,11,4092.285714285714,1817.3369449356505,5909.622659221364,2274.9487693500637,12.285714285714286,6.969320524364164,19.25503481007845,5.316393761350122
61118,2021-08-15 00:00:00+00:00,Germany,4728,3821013,3,4321.0,1775.878468063852,6096.878468063852,2545.121531936148,12.142857142857142,7.174690967288099,19.317548110145243,4.968166175569043
61119,2021-08-16 00:00:00+00:00,Germany,2126,3823139,4,4455.714285714285,1514.72832704792,5970.4426127622055,2940.985958666365,12.428571428571429,6.729466121885848,19.158037550457276,5.699105306685581
61120,2021-08-17 00:00:00+00:00,Germany,3912,3827051,28,4660.285714285715,1282.292441201069,5942.5781554867835,3377.993273084646,13.714285714285714,8.750510189201774,22.464795903487488,4.963775525083939
61121,2021-08-18 00:00:00+00:00,Germany,8324,3835375,22,5135.714285714285,1897.0817689532385,7032.796054667524,3238.6325167610466,14.857142857142858,9.299257522839463,24.156400379982323,5.5578853343033945
61122,2021-08-19 00:00:00+00:00,Germany,8400,3843775,22,5530.285714285715,2269.617421085493,7799.903135371207,3260.668293200222,15.571428571428571,9.675693650531922,25.247122221960495,5.895734920896649
61123,2021-08-20 00:00:00+00:00,Germany,9280,3853055,13,6059.142857142857,2677.288144657454,8736.43100180031,3381.854712485403,14.714285714285714,9.586697132206574,24.30098284649229,5.12758858207914
61124,2021-08-21 00:00:00+00:00,Germany,8092,3861147,17,6408.857142857143,2772.222178961016,9181.079321818159,3636.634963896127,15.571428571428571,9.466733735504752,25.038162306933323,6.104694835923819
61125,2021-08-22 00:00:00+00:00,Germany,7050,3868197,3,6740.571428571428,2674.784655328447,9415.356083899875,4065.7867732429813,15.571428571428571,9.466733735504752,25.038162306933323,6.104694835923819
61126,2021-08-23 00:00:00+00:00,Germany,3668,3871865,4,6960.857142857143,2263.24188047221,9224.099023329352,4697.615262384933,15.571428571428571,9.466733735504752,25.038162306933323,6.104694835923819
61127,2021-08-24 00:00:00+00:00,Germany,5747,3877612,42,7223.0,1933.4972631649243,9156.497263164925,5289.502736835076,17.571428571428573,13.252133700613816,30.823562272042388,4.3192948708147565
61128,2021-08-25 00:00:00+00:00,Germany,11561,3889173,39,7685.428571428572,2534.4174779188525,10219.846049347423,5151.011093509719,20.0,15.556349186100755,35.55634918610075,4.443650813899245
61129,2021-08-26 00:00:00+00:00,Germany,12626,3901799,21,8289.142857142857,3159.297623869917,11448.440481012774,5129.845233272939,19.857142857142858,15.539504190162827,35.396647047305684,4.317638666980031
61130,2021-08-27 00:00:00+00:00,Germany,12029,3913828,14,8681.857142857143,3459.579233980647,12141.43637683779,5222.277908876496,20.0,15.470401847826416,35.470401847826416,4.529598152173584
61131,2021-08-28 00:00:00+00:00,Germany,10303,3924131,22,8997.714285714286,3497.473931963119,12495.188217677405,5500.240353751167,20.714285714285715,15.42416162728658,36.138447341572295,5.2901240869991355
61132,2021-08-29 00:00:00+00:00,Germany,8416,3932547,12,9192.857142857143,3407.6428524015646,12600.499995258708,5785.2142904555785,22.0,14.011899704652173,36.01189970465217,7.988100295347827
61133,2021-08-30 00:00:00+00:00,Germany,4559,3937106,10,9320.142857142857,3175.619437137183,12495.76229428004,6144.523420005674,22.857142857142858,12.86375491355806,35.720897770700915,9.993387943584798
61134,2021-08-31 00:00:00+00:00,Germany,5750,3942856,60,9320.57142857143,3175.05699986325,12495.62842843468,6145.514428708179,25.428571428571427,18.072604893012713,43.50117632158414,7.355966535558714
61135,2021-09-01 00:00:00+00:00,Germany,13531,3956387,23,9602.0,3479.4562793631535,13081.456279363154,6122.543720636846,23.142857142857142,17.05313823932189,40.195995382179035,6.089718903535253
61136,2021-09-02 00:00:00+00:00,Germany,13715,3970102,33,9757.57142857143,3657.013164553003,13414.584593124433,6100.558264018426,24.857142857142858,17.401423039781058,42.25856589692391,7.4557198173618
61137,2021-09-03 00:00:00+00:00,Germany,14251,3984353,45,10075.0,3970.068387320261,14045.068387320262,6104.9316126797385,29.285714285714285,18.108140763332457,47.39385504904674,11.177573522381827
