Date_reported,Country,New_cases,Cumulative_cases,New_deaths,MA,MA_deaths,MSTD_cases,MSTD_deaths,OTG_cases,UTG_cases,OTG_deaths,UTG_deaths,change_1,change_4,change_7,change_14,R1
2020-10-17 00:00:00+00:00,Germany,7830,356387,33,5286.571428571428,23.285714285714285,2044.1103898055599,13.744262872398313,7330.681818376988,3242.4610387658686,37.0299771581126,9.541451413315972,9.171903118270052,41.271234968505425,65.03590063773802,160.09277481023335,0
2020-10-18 00:00:00+00:00,Germany,5587,361974,10,5587.142857142857,23.142857142857142,1883.0519933131359,13.897584579475756,7470.194850455993,3704.090863829721,37.0404417223329,9.245272563381386,5.685564503053553,37.23288536439875,65.53096034198163,159.05809101145923,0
2020-10-19 00:00:00+00:00,Germany,4325,366299,12,5852.571428571428,24.0,1451.427786369131,12.806248474897833,7303.999214940559,4401.143642202298,36.806248474897835,11.193751525102167,4.750703144975721,31.818913092441825,65.78180640984137,167.9924118532086,0
2020-10-20 00:00:00+00:00,Germany,6868,373167,47,6244.857142857143,28.857142857142858,1264.8357506756638,14.299517141393325,7509.692893532807,4980.021392181479,43.156659998536185,14.557625715749532,6.702792423354831,28.961265008702842,66.87917541515556,176.02449958956873,0
2020-10-21 00:00:00+00:00,Germany,7595,380762,39,6596.714285714285,28.285714285714285,1246.105093785718,13.707835784892318,7842.819379500003,5350.609191928567,41.9935500706066,14.577878500821967,5.634350551310785,24.78246770793926,62.03024667532193,173.77126934250313,0
2020-10-22 00:00:00+00:00,Germany,11287,392049,30,7260.857142857143,27.857142857142858,2168.9530061423593,13.582201238275186,9429.810148999502,5091.904136714784,41.43934409541804,14.274941618867672,10.067782662364388,29.956532856047048,63.53808037581648,175.89838236890674,0
2020-10-23 00:00:00+00:00,Germany,11242,403291,49,7819.142857142857,31.428571428571427,2642.2373996647866,15.54410009038324,10461.380256807643,5176.90545747807,46.97267151895467,15.884471338188186,7.688978082083975,33.601835578988485,61.47151665339115,170.09129040217124,0
2020-10-24 00:00:00+00:00,Germany,14714,418005,49,8802.57142857143,33.714285714285715,3711.6376824403515,16.928420734735642,12514.20911101178,5090.933746131078,50.64270644902136,16.785864979550073,12.577191508020613,40.957130438761034,66.50813381613794,174.79819827855331,0
2020-10-25 00:00:00+00:00,Germany,11176,429181,29,9601.0,36.42857142857143,3499.7231319058556,13.709572602863053,13100.723131905856,6101.276868094144,50.138144031434486,22.718998825708375,9.070401506053427,45.5421530199017,71.84096139094862,184.4499936513311,0
2020-10-26 00:00:00+00:00,Germany,8685,437866,24,10223.857142857143,38.142857142857146,2701.09838328548,10.526610271607469,12924.955526142623,7522.758759571663,48.66946741446461,27.61624687124968,6.487419465234279,40.807854247825915,74.69000195274363,189.60424085464552,0
2020-10-27 00:00:00+00:00,Germany,11409,449275,42,10872.57142857143,37.42857142857143,2272.024417205488,9.980934205766383,13144.595845776917,8600.547011365941,47.40950563433781,27.44763722280505,6.3451031900177535,39.05068147769213,74.10440591114975,190.5439969459821,0
2020-10-28 00:00:00+00:00,Germany,14964,464239,85,11925.285714285714,44.0,2206.5218266370257,20.63976744056903,14131.807540922739,9718.763887648689,64.63976744056903,23.36023255943097,9.68229358280337,35.47502353208476,80.77614396777616,192.91203200112284,0
2020-10-29 00:00:00+00:00,Germany,16774,481013,89,12709.142857142857,52.42857142857143,2828.840423716792,25.45490877911633,15537.98328085965,9880.302433426064,77.88348020768777,26.9736626494551,6.573068030715046,32.37311589566563,75.036398693582,186.2511663824447,0
2020-10-30 00:00:00+00:00,Germany,18681,499694,77,13771.857142857143,56.42857142857143,3502.8337779842727,26.980592672384418,17274.690920841414,10269.02336487287,83.40916410095585,29.447978756187013,8.361809271165876,34.70314530440006,76.13001059670408,184.39979939227663,0
2020-10-31 00:00:00+00:00,Germany,19059,518753,103,14392.57142857143,64.14285714285714,4041.210827509259,31.793230785974668,18433.78225608069,10351.36060106217,95.93608792883181,32.34962635688247,4.507121147682125,32.375045987281226,63.50417085916453,172.24774360914446,0
2020-11-01 00:00:00+00:00,Germany,14177,532930,29,14821.285714285714,64.14285714285714,3794.7744208001404,31.793230785974668,18616.060135085856,11026.511293485573,95.93608792883181,32.34962635688247,2.978719180529632,24.284533464307543,54.3723124079337,165.2748657632319,0
2020-11-02 00:00:00+00:00,Germany,12097,545027,49,15308.714285714286,67.71428571428571,3014.036646220324,27.66896146537024,18322.75093193461,12294.677639493962,95.38324717965595,40.04532424891546,3.2887063971700936,20.4543410817859,49.73521315690193,161.57244678773677,0
2020-11-03 00:00:00+00:00,Germany,15352,560379,131,15872.0,80.42857142857143,2485.946097564703,33.679158455733386,18357.9460975647,13386.053902435297,114.10772988430482,46.749412972838044,3.679510269594344,15.249525429706544,45.98202554264992,154.1611383080935,0
2020-11-04 00:00:00+00:00,Germany,17214,577593,151,16193.42857142857,89.85714285714286,2494.42223484948,43.09458036857439,18687.85080627805,13699.00633657909,132.95172322571725,46.76256248856847,2.025129608294929,12.51240719418747,35.79069683865017,145.4771856118847,0
2020-11-05 00:00:00+00:00,Germany,19990,597583,118,16652.85714285714,94.0,2884.79412486478,44.373415464674906,19537.65126772192,13768.063017992361,138.3734154646749,49.626584535325094,2.8371296998782602,12.357709471898515,31.030529202823608,129.35111950576476,0
2020-11-06 00:00:00+00:00,Germany,21506,619089,166,17056.428571428572,106.71428571428571,3372.2338223169186,50.95329327176717,20428.66239374549,13684.194749111653,157.6675789860529,55.760992442518535,2.4234365617225917,11.416466811619896,23.849880190450513,118.13680710344579,0
2020-11-07 00:00:00+00:00,Germany,23399,642488,130,17676.428571428572,110.57142857142857,4118.229508625222,51.64254429201751,21794.658080053792,13558.19906280335,162.2139728634461,58.92888427941106,3.634993090162908,11.368627592165904,22.81633382300392,100.80982829692621,0
2020-11-08 00:00:00+00:00,Germany,16017,658505,63,17939.285714285714,115.42857142857143,3911.157787419538,43.67629846518184,21850.443501705253,14028.127926866175,159.10486989375326,71.7522729633896,1.4870489352244665,10.781269297951557,21.037311202999543,86.84809618045739,0
2020-11-09 00:00:00+00:00,Germany,13363,671868,63,18120.14285714286,117.42857142857143,3613.9557011010907,40.31896635108147,21734.09855824395,14506.187156041768,157.7475377796529,77.10960507748996,1.0081624527175093,8.81101484086817,18.364890211924113,77.23392066175751,0
2020-11-10 00:00:00+00:00,Germany,15332,687200,154,18117.285714285714,120.71428571428571,3616.515897668985,42.48809357030131,21733.8016119547,14500.769816616728,163.202379284587,78.2261921439844,-0.01576777225030801,6.219690941831724,14.146205357142861,66.63294266042989,0
2020-11-11 00:00:00+00:00,Germany,18487,705687,261,18299.14285714286,136.42857142857142,3595.4689739802257,68.14899642904699,21894.611831123086,14703.673883162634,204.57756785761842,68.27957499952443,1.0037769769990934,3.5228512546975344,13.003511124442024,53.448255208021386,0
2020-11-12 00:00:00+00:00,Germany,21866,727553,215,18567.14285714286,150.28571428571428,3806.2467702696003,73.43412986188329,22373.38962741246,14760.896086873257,223.71984414759757,76.85158442383099,1.4645494714818907,3.499900457893701,11.4952389122416,46.092801582662666,0
2020-11-13 00:00:00+00:00,Germany,23542,751095,218,18858.0,157.71428571428572,4132.094384207275,77.78970430101009,22990.094384207274,14725.905615792726,235.5039900152958,79.92458141327563,1.5665153496960738,4.0720271836393485,10.562418861761369,36.93142329595551,0
2020-11-14 00:00:00+00:00,Germany,22461,773556,178,18724.0,164.57142857142858,3972.4144631022527,77.05162153357226,22696.414463102254,14751.585536897746,241.62305010500086,87.51980703785632,-0.7105737617987051,3.3488144707895406,5.926374914130994,30.09489022114582,0
2020-11-15 00:00:00+00:00,Germany,16947,790503,107,18856.85714285714,170.85714285714286,3881.2966660023694,68.7299754387413,22738.15380885951,14975.560476854771,239.58711829588418,102.12716741840156,0.7095553453169368,3.0477617999281614,5.114871590682846,27.228214247848157,0
2020-11-16 00:00:00+00:00,Germany,10824,801327,62,18494.14285714286,170.71428571428572,4542.579642617297,68.99206303557838,23036.722499760155,13951.563214525562,239.7063487498641,101.72222267870734,-1.9235139926362388,-0.39316765407402254,2.064001387563952,20.80794318828678,0
2020-11-17 00:00:00+00:00,Germany,14419,815746,267,18363.714285714286,186.85714285714286,4660.09190589905,77.16525248113045,23023.806191613337,13703.622379815235,264.0223953382733,109.69189037601241,-0.7052425864559453,-2.621092980622086,1.3601848274339412,15.698804723502313,0
2020-11-18 00:00:00+00:00,Germany,17561,833307,305,18231.428571428572,193.14285714285714,4669.143278201925,85.54809285119448,22900.571849630498,13562.285293226647,278.6909499940516,107.59476429166266,-0.7203646943506614,-2.63069551683095,-0.37004075132325287,12.585352082855493,0
2020-11-19 00:00:00+00:00,Germany,22609,855916,251,18337.571428571428,198.28571428571428,4772.831998479682,88.12437098728792,23110.40342705111,13564.739430091746,286.4100852730022,110.16134329842636,0.5821971477824706,-2.753829603478841,-1.2364391782719197,10.116668096422753,0
