level_0,Date_reported,AFRO,AMRO,EMRO,EURO,Other,SEARO,WPRO,MA_AFRO,MA_AMRO,MA_EMRO,MA_EURO,MA_SEARO,MA_WPRO
New_cases,2020-08-10,10706,143668,10821,20398,0,66973,5016,11385.714285714286,137189.85714285713,11596.285714285714,26163.14285714286,63679.71428571428,6143.571428571428
New_cases,2020-08-11,7553,106903,11675,26780,0,58679,8351,11139.57142857143,136586.42857142858,11790.714285714286,26532.571428571428,64113.71428571428,6602.714285714285
New_cases,2020-08-12,6325,101230,12724,26551,0,66370,4767,10775.285714285714,136745.7142857143,12026.714285714286,26692.14285714286,65484.142857142855,6082.0
New_cases,2020-08-13,7070,152705,13273,31334,0,72582,5885,9798.714285714286,138651.85714285713,12169.857142857143,27056.14285714286,67097.57142857143,6004.428571428572
New_cases,2020-08-14,8653,157676,13309,32185,0,69943,5474,9255.714285714286,139160.14285714287,12304.857142857143,27560.428571428572,67394.71428571429,5933.428571428572
New_cases,2020-08-15,10765,161772,13500,33135,0,70757,8301,9080.142857142857,140110.14285714287,12429.142857142857,28021.0,67871.85714285714,6284.142857142857
New_cases,2020-08-16,9152,149645,13769,31660,0,69064,6190,8603.42857142857,139085.57142857142,12724.42857142857,28863.285714285714,67766.85714285714,6283.428571428572
New_cases,2020-08-17,7874,140695,12916,24650,0,62850,5017,8198.857142857143,138660.85714285713,13023.714285714286,29470.714285714286,67177.85714285714,6283.571428571428
New_cases,2020-08-18,6967,105640,11887,22294,0,60215,5059,8115.142857142857,138480.42857142858,13054.0,28829.85714285714,67397.28571428571,5813.285714285715
New_cases,2020-08-19,6297,90810,14080,28455,0,70598,6321,8111.142857142857,136991.85714285713,13247.714285714286,29101.85714285714,68001.28571428571,6035.285714285715
New_cases,2020-08-20,9199,129218,13909,35219,0,75156,6227,8415.285714285714,133636.57142857142,13338.57142857143,29656.85714285714,68369.0,6084.142857142857
New_cases,2020-08-21,8589,141705,13170,36398,0,74917,6300,8406.142857142857,131355.0,13318.714285714286,30258.714285714286,69079.57142857143,6202.142857142857
New_cases,2020-08-22,7626,135756,13469,37215,0,75535,6151,7957.714285714285,127638.42857142857,13314.285714285714,30841.571428571428,69762.14285714286,5895.0
New_cases,2020-08-23,8613,119269,12758,34517,0,74368,6647,7880.714285714285,123299.0,13169.857142857143,31249.714285714286,70519.85714285714,5960.285714285715
New_cases,2020-08-24,7501,139075,11853,28555,0,68259,3827,7827.428571428572,123067.57142857143,13018.0,31807.571428571428,71292.57142857143,5790.285714285715
New_cases,2020-08-25,6115,96953,12290,25805,0,64359,5853,7705.714285714285,121826.57142857143,13075.57142857143,32309.14285714286,71884.57142857143,5903.714285714285
New_cases,2020-08-26,5367,88805,12950,30697,0,73180,4279,7572.857142857143,121540.14285714286,12914.142857142857,32629.428571428572,72253.42857142857,5612.0
New_cases,2020-08-27,6739,125428,12853,38997,0,81762,6902,7221.428571428572,120998.71428571429,12763.285714285714,33169.142857142855,73197.14285714286,5708.428571428572
New_cases,2020-08-28,3686,135430,12728,39659,0,83693,4889,6521.0,120102.28571428571,12700.142857142857,33635.0,74450.85714285714,5506.857142857143
New_cases,2020-08-29,8631,136351,12881,42244,0,82795,5522,6664.571428571428,120187.28571428571,12616.142857142857,34353.42857142857,75488.0,5417.0
New_cases,2020-08-30,6095,132917,12117,38871,0,85293,4988,6304.857142857143,122137.0,12524.57142857143,34975.42857142857,77048.71428571429,5180.0
New_cases,2020-08-31,6411,129773,11811,31565,0,84650,5395,6149.142857142857,120808.14285714286,12518.57142857143,35405.42857142857,79390.28571428571,5404.0
New_cases,2020-09-01,5196,87726,12148,27642,0,76029,4439,6017.857142857143,119490.0,12498.285714285714,35667.857142857145,81057.42857142857,5202.0
New_cases,2020-09-02,5342,113338,11913,34202,0,84454,4554,6014.285714285715,122994.71428571429,12350.142857142857,36168.57142857143,82668.0,5241.285714285715
New_cases,2020-09-03,5444,127128,13309,42380,0,90929,3197,5829.285714285715,123237.57142857143,12415.285714285714,36651.857142857145,83977.57142857143,4712.0
New_cases,2020-09-04,5952,128775,14587,45049,0,90578,3172,6153.0,122286.85714285714,12680.857142857143,37421.857142857145,84961.14285714286,4466.714285714285
New_cases,2020-09-05,5804,131311,15354,47553,0,93164,4719,5749.142857142857,121566.85714285714,13034.142857142857,38180.28571428572,86442.42857142857,4352.0
New_cases,2020-09-06,4490,144431,13979,46676,0,96991,3431,5519.857142857143,123211.71428571429,13300.142857142857,39295.28571428572,88113.57142857143,4129.571428571428
New_cases,2020-09-07,5052,108064,14587,37986,0,97066,3534,5325.714285714285,120110.42857142857,13696.714285714286,40212.57142857143,89887.28571428571,3863.714285714286
New_cases,2020-09-08,3945,83065,13851,35318,0,82103,2068,5147.0,119444.57142857143,13940.0,41309.142857142855,90755.0,3525.0
New_cases,2020-09-09,4582,65152,15978,41212,0,95836,4222,5038.428571428572,112560.85714285714,14520.714285714286,42310.57142857143,92381.0,3477.5714285714284
New_cases,2020-09-10,4887,79570,15156,51737,0,102259,4101,4958.857142857143,105766.85714285714,14784.57142857143,43647.28571428572,93999.57142857143,3606.714285714286
New_cases,2020-09-11,5301,110435,16100,55295,0,103891,5010,4865.857142857143,103146.85714285714,15000.714285714286,45111.0,95901.42857142857,3869.285714285714
New_cases,2020-09-12,4761,119030,14829,57933,0,104845,5181,4716.857142857143,101392.42857142857,14925.714285714286,46593.857142857145,97570.14285714286,3935.285714285714
New_cases,2020-09-13,4641,132464,15266,55708,0,101119,5958,4738.428571428572,99682.85714285714,15109.57142857143,47884.142857142855,98159.85714285714,4296.285714285715
New_cases,2020-09-14,3320,118149,15672,43123,0,98595,4112,4491.0,101123.57142857143,15264.57142857143,48618.0,98378.28571428571,4378.857142857143
New_cases,2020-09-15,3632,87539,15078,42675,0,90320,5306,4446.285714285715,101762.71428571429,15439.857142857143,49669.0,99552.14285714286,4841.428571428572
New_cases,2020-09-16,3891,81941,16611,52124,0,97254,4317,4347.571428571428,104161.14285714286,15530.285714285714,51227.857142857145,99754.71428571429,4855.0
New_cases,2020-09-17,4318,108603,16769,63640,0,105368,4503,4266.285714285715,108308.71428571429,15760.714285714286,52928.28571428572,100198.85714285714,4912.428571428572
New_cases,2020-09-18,4753,119704,17477,65479,0,103388,4153,4188.0,109632.85714285714,15957.42857142857,54383.142857142855,100127.0,4790.0
New_cases,2020-09-19,4809,118360,16480,69303,0,101199,4177,4194.857142857143,109537.14285714286,16193.285714285714,56007.42857142857,99606.14285714286,4646.571428571428
New_cases,2020-09-20,4353,133114,16386,68853,0,100276,4785,4153.714285714285,109630.0,16353.285714285714,57885.28571428572,99485.71428571429,4479.0
New_cases,2020-09-21,4243,114058,16674,52179,0,94442,3992,4285.571428571428,109045.57142857143,16496.428571428572,59179.0,98892.42857142857,4461.857142857143
New_cases,2020-09-22,3182,86283,14758,47425,0,82847,4002,4221.285714285715,108866.14285714286,16450.714285714286,59857.57142857143,97824.85714285714,4275.571428571428
New_cases,2020-09-23,4073,84247,19062,57244,0,90884,2239,4247.285714285715,109195.57142857143,16800.85714285714,60589.0,96914.85714285714,3978.714285714286
New_cases,2020-09-24,4317,121254,18989,73482,0,94759,3528,4247.142857142857,111002.85714285714,17118.0,61995.0,95399.28571428571,3839.4285714285716
New_cases,2020-09-25,4113,115483,18945,78879,0,94479,2876,4155.714285714285,110399.85714285714,17327.714285714286,63909.28571428572,94126.57142857143,3657.0
New_cases,2020-09-26,4099,118972,17625,81594,0,93568,3518,4054.285714285714,110487.28571428571,17491.285714285714,65665.14285714286,93036.42857142857,3562.8571428571427
New_cases,2020-09-27,2918,126225,18172,75589,0,96330,2831,3849.285714285714,109503.14285714286,17746.428571428572,66627.42857142857,92472.71428571429,3283.714285714286
New_cases,2020-09-28,3470,118077,16880,60913,0,89723,3685,3738.8571428571427,110077.28571428571,17775.85714285714,67875.14285714286,91798.57142857143,3239.8571428571427
New_cases,2020-09-29,3340,83943,17100,50804,0,77837,3663,3761.4285714285716,109743.0,18110.428571428572,68357.85714285714,91082.85714285714,3191.4285714285716
New_cases,2020-09-30,3775,80757,18732,60396,0,88323,3034,3718.8571428571427,109244.42857142857,18063.285714285714,68808.14285714286,90717.0,3305.0
New_cases,2020-10-01,4342,108863,19735,77175,0,95157,3350,3722.4285714285716,107474.28571428571,18169.85714285714,69335.71428571429,90773.85714285714,3279.5714285714284
New_cases,2020-10-02,4054,118493,19150,89693,0,90158,3489,3714.0,107904.28571428571,18199.14285714286,70880.57142857143,90156.57142857143,3367.1428571428573
New_cases,2020-10-03,4322,123066,17073,85926,0,89112,3803,3745.8571428571427,108489.14285714286,18120.285714285714,71499.42857142857,89520.0,3407.8571428571427
New_cases,2020-10-04,3777,123724,19447,94008,0,84192,3727,3868.5714285714284,108131.85714285714,18302.428571428572,74130.71428571429,87786.0,3535.8571428571427
New_cases,2020-10-05,4510,111660,18065,80334,0,83264,3989,4017.1428571428573,107215.14285714286,18471.714285714286,76905.14285714286,86863.28571428571,3579.285714285714
New_cases,2020-10-06,2832,76247,19750,80188,0,70068,3449,3944.5714285714284,106115.71428571429,18850.285714285714,81102.85714285714,85753.42857142857,3548.714285714286
New_cases,2020-10-07,2566,84819,19714,92228,0,80996,3496,3771.8571428571427,106696.0,18990.571428571428,85650.28571428571,84706.71428571429,3614.714285714286
New_cases,2020-10-08,3066,122746,21357,112579,0,89674,4066,3589.5714285714284,108679.28571428571,19222.285714285714,90708.0,83923.42857142857,3717.0
New_cases,2020-10-09,6386,127249,19519,121985,0,82284,3431,3922.714285714286,109930.14285714286,19275.0,95321.14285714286,82798.57142857143,3708.714285714286
New_cases,2020-10-10,4174,150201,21034,129170,0,82273,4380,3901.5714285714284,113806.57142857143,19840.85714285714,101498.85714285714,81821.57142857143,3791.1428571428573
New_cases,2020-10-11,4763,131816,18569,127974,0,87204,3388,4042.4285714285716,114962.57142857143,19715.428571428572,106351.14285714286,82251.85714285714,3742.714285714286
New_cases,2020-10-12,4089,117936,16977,97211,0,76570,3596,3982.285714285714,115859.14285714286,19560.0,108762.14285714286,81295.57142857143,3686.5714285714284
